VARIABLES=X,R
ZONE T="BODY GEOMETRY IN FEET"
          0.000015      0.000385
          0.000170      0.001301
          0.000325      0.001800
          0.000480      0.002188
          0.000635      0.002517
          0.000790      0.002809
          0.000945      0.003073
          0.001101      0.003316
          0.001256      0.003543
          0.001411      0.003757
          0.001566      0.003959
          0.001721      0.004151
          0.001876      0.004336
          0.002031      0.004513
          0.002186      0.004683
          0.002341      0.004848
          0.002496      0.005007
          0.002651      0.005162
          0.002806      0.005312
          0.002961      0.005459
          0.003117      0.005601
          0.003272      0.005741
          0.003427      0.005877
          0.003582      0.006010
          0.003737      0.006140
          0.003892      0.006268
          0.004047      0.006394
          0.004202      0.006517
          0.004357      0.006638
          0.004512      0.006757
          0.004667      0.006874
          0.004822      0.006989
          0.004978      0.007103
          0.005133      0.007215
          0.005288      0.007325
          0.005443      0.007434
          0.005598      0.007541
          0.005753      0.007647
          0.005908      0.007752
          0.006063      0.007855
          0.006218      0.007957
          0.006218      0.007957
          0.039555      0.028543
          0.072892      0.046676
          0.106229      0.062356
          0.139566      0.075584
          0.172903      0.086360
          0.206239      0.094683
          0.239576      0.100554
          0.272913      0.103972
          0.306250      0.105937
          0.339587      0.108169
          0.372924      0.110699
          0.406261      0.113526
          0.439598      0.116651
          0.472934      0.120074
          0.506271      0.123794
          0.539608      0.127812
          0.572945      0.132127
          0.606282      0.136740
          0.639619      0.141651
          0.672956      0.146859
          0.706293      0.152365
          0.739629      0.158168
          0.772966      0.164269
          0.806303      0.170668
          0.839640      0.177291
          0.872977      0.183790
          0.906314      0.190117
          0.939651      0.196272
          0.972988      0.202256
          1.006324      0.208069
          1.039661      0.213710
          1.072998      0.219180
          1.106335      0.224479
          1.139672      0.229607
          1.173009      0.234563
          1.206346      0.239347
          1.239683      0.243961
          1.273019      0.248403
          1.306356      0.252673
          1.339693      0.256773
          1.373030      0.260703
          1.406367      0.264524
          1.439704      0.268259
          1.473041      0.271906
          1.506378      0.275467
          1.539714      0.278941
          1.573051      0.282328
          1.606388      0.285629
          1.639725      0.288842
          1.673062      0.291969
          1.706399      0.295010
          1.739736      0.297963
          1.773072      0.300830
          1.806409      0.303610
          1.839746      0.306303
          1.873083      0.308910
          1.906420      0.311429
          1.939757      0.313851
          1.973094      0.316162
          2.006431      0.318362
          2.039768      0.320451
          2.073104      0.322429
          2.106441      0.324296
          2.139778      0.326052
          2.173115      0.327697
          2.206452      0.329231
          2.239789      0.330654
          2.273126      0.331966
          2.306463      0.333168
          2.339799      0.334258
          2.373136      0.335238
          2.406473      0.336106
          2.439810      0.336864
          2.473147      0.337526
          2.506484      0.338142
          2.539821      0.338717
          2.573158      0.339250
          2.606494      0.339740
          2.639831      0.340189
          2.673168      0.340596
          2.706505      0.340961
          2.739842      0.341284
          2.773179      0.341565
          2.806516      0.341804
          2.839853      0.342001
          2.873189      0.342156
          2.906526      0.342270
