cant_deg,SM_cal,p_eq_degs,p_eq_rps,tumble,range_m,alt_max_m,t_flight_s,v_max_ms
0.0,4.316666666666668,0.0,0.0,False,1522.473671832619,565.435178460003,19.59,156.0251867574917
0.3333333333333333,7.066666666666666,-298.1687963372947,-0.8282466564924852,False,1522.3133346471445,565.2720354552255,19.59,156.0251674354691
0.6666666666666666,7.066666666666666,-293.6373556634755,-0.8156593212874319,False,1516.600620029932,564.7803014625579,19.580000000000002,156.0250705412576
1.0,7.066666666666666,-572.7669368376488,-1.591019268993469,False,1520.9291987030317,564.8165456617221,19.580000000000002,156.02411610535236
1.3333333333333333,7.066666666666666,-832.0193398273216,-2.311164832853671,False,1520.421020915708,564.7516682045705,19.580000000000002,156.02208868406376
1.6666666666666665,7.066666666666666,-799.871398454049,-2.2218649957056917,False,1519.7458267952948,564.5838626085258,19.580000000000002,156.02033739295553
2.0,7.066666666666666,-1019.5956729634138,-2.8322102026761495,False,1518.9305025210763,564.3193447448455,19.580000000000002,156.0173534857687
2.333333333333333,7.066666666666666,-1213.6518845889884,-3.3712552349694125,False,1517.516412287714,564.0987958182808,19.57,156.01472518812685
2.6666666666666665,7.066666666666666,-1383.3893557988083,-3.8427482105522452,False,1515.7915152296014,563.7129875642656,19.57,156.01065553232303
3.0,7.066666666666666,-1531.1248983237376,-4.253124717565938,False,1470.647547822675,547.8993504341612,19.23,152.72241236301198
